nr,TL,TW,Sex,fecundity,Location,Introduction,age,0,1,2,3,4,5,6,7,8
4,171,95.8,1,4,Kõiguste,2014,4,NA,34.66333130787639,89.12139934304632,132.26701807112514,168.17214954944055,NA,NA,NA,NA
6,184,96.4,1,4,Kõiguste,2014,4,NA,49.3505014218353,121.11283548287432,166.35176474946385,182.87947712695006,NA,NA,NA,NA
8,172,83.2,1,4,Kõiguste,2014,4,NA,37.60164681325799,114.32157829200702,150.45522582502605,171.38443502357214,NA,NA,NA,NA
12,193,118.5,1,4,Kõiguste,2014,4,NA,46.67493213103573,109.02042475268068,155.09651856406347,193,NA,NA,NA,NA
49,200,120.2,1,4,Kõiguste,2014,4,NA,32.26147651145701,100.93016774273713,171.2374210495959,190.75797012704734,NA,NA,NA,NA
53,196,95.5,1,3,Kõiguste,2014,4,NA,48.85557522340066,121.73976909742576,159.86082957275755,191.00297890388745,NA,NA,NA,NA
54,189,98.6,1,3,Kõiguste,2014,4,NA,58.253687871946454,119.96253113056274,164.13033841921003,189,NA,NA,NA,NA
55,187,95,1,3,Kõiguste,2014,4,NA,69.9056238478366,142.92369660769197,173.7762271012129,185.72028004205288,NA,NA,NA,NA
56,181,84.6,1,3,Kõiguste,2014,4,NA,56.392267416346726,121.49625218581359,153.3193462484911,177.77506946584361,NA,NA,NA,NA
61,192,86.8,1,3,Kõiguste,2014,4,NA,54.74495069286272,114.66885211318323,161.81874761514234,189.86409598507163,NA,NA,NA,NA
1,180,63.2,0,4,Kõiguste,2014,5,NA,40.58682133506873,100.28710193975516,144.21437474224018,168.4152964797496,179.04783258737666,NA,NA,NA
11,197,93.8,0,3,Kõiguste,2014,5,NA,44.59501781502217,115.06563132059514,158.31258144535175,185.27653983192477,196.2785562973492,NA,NA,NA
10,190,85.4,1,4,Kõiguste,2014,5,NA,42.92403787366075,102.35556302862213,147.92714412697538,169.3216389219815,187.3144985612963,NA,NA,NA
57,192,97.5,1,3,Kõiguste,2014,5,NA,37.81031884485082,114.4452880858748,160.80258740990735,183.2698598513321,192,NA,NA,NA
59,203,162.9,1,3,Kõiguste,2014,5,NA,47.179742201744695,102.15866290408714,144.61549599781424,167.7961639789127,203,NA,NA,NA
60,200,132.2,1,3,Kõiguste,2014,5,NA,58.12129413676764,122.68663425760114,166.81107878365628,178.45079522919863,200,NA,NA,NA
49,78,5.8,0,2,Käsmu,2012,1,NA,50.752700386341964,NA,NA,NA,NA,NA,NA,NA
85,151,65.2,0,4,Käsmu,2012,1,NA,100.44945904641294,NA,NA,NA,NA,NA,NA,NA
48,58,2.3,3,2,Käsmu,2012,1,NA,35.9085743285039,NA,NA,NA,NA,NA,NA,NA
50,55,2,3,2,Käsmu,2012,1,NA,35.50836268590519,NA,NA,NA,NA,NA,NA,NA
51,53,1.5,3,2,Käsmu,2012,1,NA,27.443312634790825,NA,NA,NA,NA,NA,NA,NA
52,48,1.3,3,2,Käsmu,2012,1,NA,31.554238004495982,NA,NA,NA,NA,NA,NA,NA
53,47,1.3,3,2,Käsmu,2012,1,NA,24.336522525191864,NA,NA,NA,NA,NA,NA,NA
54,53,1.6,3,2,Käsmu,2012,1,NA,34.77215881026371,NA,NA,NA,NA,NA,NA,NA
55,48,1.1,3,2,Käsmu,2012,1,NA,27.78257898300903,NA,NA,NA,NA,NA,NA,NA
16,96,14.2,0,3,Käsmu,2012,2,NA,42.69336661437679,89.46286953141906,NA,NA,NA,NA,NA,NA
17,113,19.7,0,6,Käsmu,2012,2,NA,40.94864615283193,97.20839229537049,NA,NA,NA,NA,NA,NA
20,81,6.3,0,3,Käsmu,2012,2,NA,26.86540029445924,62.640357706716514,NA,NA,NA,NA,NA,NA
21,87,8.3,0,3,Käsmu,2012,2,NA,21.146577374709004,68.57004973565482,NA,NA,NA,NA,NA,NA
15,107,18.3,1,2,Käsmu,2012,2,NA,39.58158889449569,94.48079443439659,NA,NA,NA,NA,NA,NA
37,131,37,1,2,Käsmu,2012,2,NA,46.38494188877689,98.58050805581472,NA,NA,NA,NA,NA,NA
19,104,17,3,2,Käsmu,2012,2,NA,40.006333027195126,92.53703765410157,NA,NA,NA,NA,NA,NA
5,119,18.7,0,6,Käsmu,2012,3,NA,30.958844102738375,65.47565151615777,109.94334301353591,NA,NA,NA,NA,NA
18,112,19.4,0,3,Käsmu,2012,3,NA,38.745766379210174,79.55055245340644,106.30325999758563,NA,NA,NA,NA,NA
30,98,13.5,0,6,Käsmu,2012,3,NA,48.504629091343936,75.19412910560533,92.85953121126718,NA,NA,NA,NA,NA
36,124,28.1,0,3,Käsmu,2012,3,NA,34.740293115172555,72.9739567505742,112.95586267537684,NA,NA,NA,NA,NA
39,125,23.6,0,3,Käsmu,2012,3,NA,49.97621686171149,99.12511657037501,117.01359727882732,NA,NA,NA,NA,NA
42,132,30.1,0,3,Käsmu,2012,3,NA,44.369204981651635,91.85821315345697,123.07098301436126,NA,NA,NA,NA,NA
1,143,44.3,1,3,Käsmu,2012,3,NA,46.062791442072054,92.4815843421979,130.33398842884216,NA,NA,NA,NA,NA
2,127,33.5,1,2,Käsmu,2012,3,NA,37.152371720615825,79.7378438268402,116.0945813501472,NA,NA,NA,NA,NA
10,173,97,1,3,Käsmu,2012,3,NA,37.283953400033376,158.7830946018921,166.1195920608382,NA,NA,NA,NA,NA
11,156,76.4,1,2,Käsmu,2012,3,NA,35.14322049920672,98.85438641437673,142.18253283146416,NA,NA,NA,NA,NA
12,166,87.7,1,3,Käsmu,2012,3,NA,38.67708956812752,96.16306397792148,152.44716304599183,NA,NA,NA,NA,NA
13,87,9.9,1,2,Käsmu,2012,3,NA,28.099155577758975,52.859387725354715,79.21092658459982,NA,NA,NA,NA,NA
14,123,27.6,1,2,Käsmu,2012,3,NA,26.293865052871542,54.58106725911755,106.29974376415049,NA,NA,NA,NA,NA
24,178,72.6,1,3,Käsmu,2012,3,NA,36.363171837028894,110.22849859021483,171.5186377422059,NA,NA,NA,NA,NA
25,165,81.3,1,3,Käsmu,2012,3,NA,46.631749087716486,100.1196651377822,150.0595701516051,NA,NA,NA,NA,NA
26,163,68.7,1,3,Käsmu,2012,3,NA,54.04398032601713,114.96741314920286,156.39133480030114,NA,NA,NA,NA,NA
27,153,71.6,1,3,Käsmu,2012,3,NA,29.647798426424185,91.2930392355904,142.7064714548947,NA,NA,NA,NA,NA
32,147,57.5,1,2,Käsmu,2012,3,NA,37.516855021573704,86.15735137966398,134.48023973038502,NA,NA,NA,NA,NA
33,202,101,1,4,Käsmu,2012,3,NA,49.267704571639506,134.46090861729095,202.00000000000003,NA,NA,NA,NA,NA
34,201,123.1,1,4,Käsmu,2012,3,NA,51.375954901532715,136.59903359139466,194.27416118160417,NA,NA,NA,NA,NA
35,210,101.6,1,3,Käsmu,2012,3,NA,67.63871740773628,180.6980310422666,NA,NA,NA,NA,NA,NA
38,137,41.6,1,3,Käsmu,2012,3,NA,42.35231934483801,91.68686216068406,127.92777991876787,NA,NA,NA,NA,NA
41,112,14.8,1,2,Käsmu,2012,3,NA,35.62280499208588,77.5602048061436,104.91984287296276,NA,NA,NA,NA,NA
4,119,22,3,2,Käsmu,2012,3,NA,34.04971597592741,73.74425988593543,108.73549318374594,NA,NA,NA,NA,NA
22,109,16.4,3,2,Käsmu,2012,3,NA,22.504611391492134,63.774430985862026,100.36722381136016,NA,NA,NA,NA,NA
28,109,17.1,3,2,Käsmu,2012,3,NA,25.365739285375707,50.62592437663394,94.29344260968419,NA,NA,NA,NA,NA
31,84,7.8,3,2,Käsmu,2012,3,NA,22.415503999779947,54.743431192254015,77.78979872266687,NA,NA,NA,NA,NA
40,136,47,0,4,Käsmu,2012,4,NA,29.747063638903477,74.78269170007887,105.26567956497207,130.65808240057848,NA,NA,NA,NA
43,148,60,0,3,Käsmu,2012,4,NA,29.66989879479646,83.8297428781165,118.72066309856604,144.70824023001632,NA,NA,NA,NA
44,156,53.9,0,3,Käsmu,2012,4,NA,32.33021789411786,93.00651205468608,127.92771817228443,151.95354496177075,NA,NA,NA,NA
45,142,42.9,0,3,Käsmu,2012,4,NA,32.451788201602305,70.54703534773924,106.36582695463441,134.97237886576318,NA,NA,NA,NA
46,160,71.5,0,3,Käsmu,2012,4,NA,51.33258570262901,108.57382647820927,137.7862191767805,157.9415801553773,NA,NA,NA,NA
47,166,67.9,0,3,Käsmu,2012,4,NA,45.60306985687461,101.63850012712842,138.0733119289597,163.89073352937766,NA,NA,NA,NA
7,198,108.2,1,3,Käsmu,2012,4,NA,55.70330827406623,129.39569775495636,175.63021440116322,NA,NA,NA,NA,NA
8,201,108.4,1,3,Käsmu,2012,4,NA,52.81972758448845,113.61763399276629,156.6625956552013,NA,NA,NA,NA,NA
74,172,78.8,0,3,Käsmu,2012,4,NA,36.66886589603628,142.3639733323497,168.00378933611603,172.21601138723696,NA,NA,NA,NA
17,111,19.6,0,3,Matsalu,2016,1,NA,45.57349988318064,NA,NA,NA,NA,NA,NA,NA
20,108,18.1,0,3,Matsalu,2016,1,NA,52.16134261677422,NA,NA,NA,NA,NA,NA,NA
21,105,16.2,0,3,Matsalu,2016,1,NA,78.79002161893438,NA,NA,NA,NA,NA,NA,NA
