nr,sex,location,introduction,age,tl
14,1,Tallinna laht,2005,1,32.44965919422834
28,1,Tallinna laht,2005,1,46.470477206057325
8,0,Tallinna laht,2005,1,38.73092780912471
10,0,Tallinna laht,2005,1,38.3340474620602
13,0,Tallinna laht,2005,1,37.61447889106186
19,0,Tallinna laht,2005,1,30.43883932107914
21,0,Tallinna laht,2005,1,41.52246481818163
22,0,Tallinna laht,2005,1,32.107253957749506
24,0,Tallinna laht,2005,1,48.60105737441319
30,0,Tallinna laht,2005,1,33.30968672867567
35,0,Tallinna laht,2005,1,17.890232826031124
3,1,Tallinna laht,2005,1,40.53809648512003
4,1,Tallinna laht,2005,1,32.73434957612802
25,1,Tallinna laht,2005,1,60.902172820265726
34,1,Tallinna laht,2005,1,22.382059016840135
1,0,Tallinna laht,2005,1,31.35967036066237
7,0,Tallinna laht,2005,1,36.90040711927677
16,0,Tallinna laht,2005,1,37.76595951639094
18,0,Tallinna laht,2005,1,45.800971380749075
27,0,Tallinna laht,2005,1,39.03492173492165
33,0,Tallinna laht,2005,1,25.8117134965805
5,0,Tallinna laht,2005,1,32.54890875049628
17,0,Tallinna laht,2005,1,64.73452834392516
20,0,Tallinna laht,2005,1,43.81728569888218
23,0,Tallinna laht,2005,1,30.3164208540749
5,1,Vilsandi,2013,1,71.79739912597948
9,1,Vilsandi,2013,1,66.767857034796
4,3,Vilsandi,2013,1,70.35261998982881
8,3,Vilsandi,2013,1,63.59728060592047
48,3,Vilsandi,2013,1,35.76857026489919
49,3,Vilsandi,2013,1,29.200657083687396
50,3,Vilsandi,2013,1,36.28958600499343
51,3,Vilsandi,2013,1,34.52591315359937
52,3,Vilsandi,2013,1,34.5405740347694
54,3,Vilsandi,2013,1,37.32011779032919
58,3,Vilsandi,2013,1,23.466089541452984
60,3,Vilsandi,2013,1,38.303587035584066
61,3,Vilsandi,2013,1,30.211546302177528
2,0,Vilsandi,2013,1,44.059198847572375
3,0,Vilsandi,2013,1,39.52218806830217
6,0,Vilsandi,2013,1,29.463016135166328
7,0,Vilsandi,2013,1,46.53405412008415
12,0,Vilsandi,2013,1,52.727603108446374
15,0,Vilsandi,2013,1,34.95867376923507
19,0,Vilsandi,2013,1,55.38181327710906
1,1,Vilsandi,2013,1,73.34274875850055
13,1,Vilsandi,2013,1,64.09628981980364
26,1,Vilsandi,2013,1,50.603230101449384
36,1,Vilsandi,2013,1,80.4175136693356
16,3,Vilsandi,2013,1,48.23453729694611
17,3,Vilsandi,2013,1,47.020026586799666
18,3,Vilsandi,2013,1,40.47872085758882
21,3,Vilsandi,2013,1,62.8265933249707
22,3,Vilsandi,2013,1,30.826533578267277
34,3,Vilsandi,2013,1,66.93999067397206
39,3,Vilsandi,2013,1,60.77714923063959
20,0,Vilsandi,2013,1,38.14203784520313
25,0,Vilsandi,2013,1,65.35431334542662
32,0,Vilsandi,2013,1,30.70679933375242
33,0,Vilsandi,2013,1,43.15148369924043
11,1,Vilsandi,2013,1,36.70993557485792
27,1,Vilsandi,2013,1,48.99301509382951
29,1,Vilsandi,2013,1,43.91812131689406
30,1,Vilsandi,2013,1,63.15334915502224
31,1,Vilsandi,2013,1,55.35947499269634
44,1,Vilsandi,2013,1,79.80716060836966
23,3,Vilsandi,2013,1,48.35847275737433
37,3,Vilsandi,2013,1,38.80984628972678
40,3,Vilsandi,2013,1,38.58720705831797
42,3,Vilsandi,2013,1,75.57898970598781
24,0,Vilsandi,2013,1,47.29739779162257
35,0,Vilsandi,2013,1,58.10164898358633
38,0,Vilsandi,2013,1,74.22399591267985
41,0,Vilsandi,2013,1,27.8818474681041
43,1,Vilsandi,2013,1,40.84558676361767
6,0,Kihnu,2012,2,158.7685716338617
8,0,Kihnu,2012,2,87.13758490719185
11,0,Kihnu,2012,2,104.01740742976361
15,0,Kihnu,2012,2,138.16436258872085
